ADM1_PCODE,Province,Population,Dependency_Ratio,Male,Female,0-64,Over 64,0-14,15-59,Over 60,Over 65
CN011,???,21893095,15.3,51.14,48.86,86.7,13.3,11.84,68.53,19.63,13.3
CN012,???,13866009,17.3,51.53,48.47,85.25,14.75,13.47,64.87,21.66,14.75
CN013,???,74610235,16.2,50.5,49.5,86.07,13.93,20.22,59.92,19.85,13.92
CN014,???,34915616,14.8,50.99,49.01,87.09,12.91,16.35,64.72,18.92,12.9
CN015,??????,24049155,15.0,51.04,48.96,86.94,13.06,14.04,66.17,19.78,13.05
CN021,???,42591407,21.1,49.92,50.08,82.58,17.42,11.12,63.16,25.72,17.42
CN022,???,24073453,21.1,49.92,50.08,82.58,17.42,11.71,65.23,23.06,17.42
CN023,????,31850088,18.5,50.09,49.91,84.39,15.61,10.32,66.46,23.22,15.61
CN031,???,24870895,19.4,51.77,48.23,83.72,16.28,9.8,66.82,23.38,16.28
CN032,???,84748016,19.3,50.78,49.22,83.8,16.2,15.21,62.95,21.84,16.2
CN033,???,64567588,15.3,52.16,47.84,86.74,13.26,13.45,67.86,18.7,13.27
CN034,???,61027171,17.7,50.97,49.03,84.98,15.02,19.24,61.96,18.79,15.01
CN035,???,41540086,12.5,51.68,48.32,88.9,11.1,19.32,64.7,15.98,11.1
CN036,???,45188635,13.5,51.6,48.4,88.11,11.89,21.96,61.17,16.87,11.89
CN037,???,101527453,17.8,50.66,49.34,84.87,15.13,18.78,60.32,20.9,15.13
CN041,???,99365519,15.6,50.15,49.85,86.52,13.48,23.14,58.79,18.08,13.49
CN042,???,57752557,17.1,51.42,48.58,85.4,14.6,16.31,63.26,20.42,14.59
CN043,???,66444864,17.4,51.16,48.84,85.19,14.81,19.52,60.6,19.88,14.81
CN044,???,126012510,9.4,53.07,46.93,91.42,8.58,18.85,68.8,12.35,8.58
CN045,???????,50126804,13.9,51.7,48.3,87.81,12.19,23.63,59.69,16.69,12.2
CN046,???,10081232,11.6,53.02,46.98,89.57,10.43,19.97,65.38,14.65,10.43
CN050,???,32054159,20.6,50.55,49.45,82.92,17.08,15.91,62.22,21.87,17.08
CN051,???,83674866,20.4,50.54,49.46,83.07,16.93,16.1,62.19,21.71,16.93
CN052,???,38562148,13.1,51.1,48.9,88.44,11.56,23.97,60.65,15.38,11.56
CN053,???,47209277,12.0,51.73,48.27,89.25,10.75,19.57,65.52,14.91,10.75
CN054,?????,3648100,6.0,52.45,47.55,94.33,5.67,24.53,66.95,8.52,5.67
CN061,???,39528999,15.4,51.17,48.83,86.67,13.33,17.33,63.46,19.2,13.32
CN062,???,25019831,14.4,50.76,49.24,87.42,12.58,19.4,63.57,17.03,12.58
CN063,???,5923957,9.5,51.21,48.79,91.31,8.69,20.81,67.04,12.14,8.68
CN064,???????,7202654,10.7,50.94,49.06,90.37,9.63,20.38,66.09,13.52,9.62
CN065,????????,25852345,8.4,51.66,48.34,92.24,7.76,22.46,66.26,11.28,7.76
